Start,Date,Time,RTD,TC1,TC2,TC3,TC4,TC6,TC7,TC9,TC10,Setpoint,Mains Voltage,State,Offset,WA,CA,HSCOMP_SPEED,LSCOMP_SPEED,HSHX Recover Info,StagenFanInfo,VSCReferStatus_MSB,VSCReferStatus_LSB,SSID Strength,SSID_Latency
SX,"31/12/2022, 21:00:00",50.000.000,"-79,8","-15,1","16,7","-90,9","-84,6","-29,9","20,8","44,7","-38,7",-80,220,7,0,-40,-90,3.525,3.125,4,141,104,72,99,0
SX,"31/12/2022, 21:00:00",110.000.000,"-79,8","-15,2","16,6","-90,9","-84,6","-29,9","20,7","44,6","-38,7",-80,220,7,0,-40,-90,3.525,3.125,4,141,104,72,99,0
SX,"31/12/2022, 21:00:00",170.000.000,"-79,9","-15,4","16,7",-91,"-84,7","-29,9","20,8","44,6","-38,6",-80,220,7,0,-40,-90,3.525,3.125,4,141,104,72,99,0
SX,"31/12/2022, 21:00:00",230.000.000,"-79,9","-15,2","16,5",-91,"-84,7",-30,"20,6","44,6","-38,7",-80,220,7,0,-40,-90,3.525,3.125,4,141,104,72,99,0
SX,"31/12/2022, 21:00:00",290.000.000,-80,"-15,3","16,6",-91,"-84,7","-29,9","20,7","44,6","-38,6",-80,220,7,0,-40,-90,3.525,3.125,4,141,104,72,99,0
SX,"31/12/2022, 21:00:00",350.000.000,-80,"-15,3","16,6",-91,"-84,7",-30,"20,6","44,7","-38,7",-80,219,7,0,-40,-90,3.525,3.125,4,141,104,72,99,0
SX,"31/12/2022, 21:00:00",410.000.000,"-80,1","-15,1","16,9","-90,9","-84,7",-30,"20,9","44,7","-38,8",-80,219,7,0,-40,-90,3.525,3.125,4,141,104,72,99,0
SX,"31/12/2022, 21:00:00",470.000.000,"-80,1","-15,4","16,8",-91,"-84,8","-30,1","20,8","44,7","-38,6",-80,219,7,0,-40,-90,3.525,3.125,4,141,104,72,99,0
SX,"31/12/2022, 21:00:00",530.000.000,"-80,1","-15,3","16,8",-91,"-84,8","-30,1","20,8","44,7","-38,7",-80,219,7,0,-40,-90,3.525,3.125,4,141,104,72,99,0
SX,"31/12/2022, 21:00:00",590.000.000,"-80,2","-15,4","16,7",-91,"-84,9","-30,1","20,8","44,7","-38,6",-80,219,7,0,-40,-90,3.525,3.125,4,141,104,72,99,0
SX,"31/12/2022, 21:00:00",650.000.000,"-80,2","-15,3","16,8",-91,"-84,8",-30,"20,8","44,8","-38,7",-80,219,7,0,-40,-90,3.525,3.125,4,141,104,72,99,0
SX,"31/12/2022, 21:00:00",710.000.000,"-80,2","-15,3",17,"-90,9","-84,8","-30,1",21,"44,8","-38,7",-80,219,7,0,-40,-90,3.525,3.125,4,141,104,72,99,0
SX,"31/12/2022, 21:00:00",770.000.000,"-80,2","-15,2","16,7","-91,1","-84,9","-30,2","20,8","44,7","-38,8",-80,219,7,0,-40,-90,3.525,3.125,4,141,104,72,99,0
SX,"31/12/2022, 21:00:00",830.000.000,"-80,2","-15,3","16,8","-91,1","-84,8","-30,2","20,7","44,7","-38,6",-80,219,7,0,-40,-90,3.525,3.125,4,141,104,72,99,0
SX,"31/12/2022, 21:00:00",890.000.000,"-80,2","-15,3","16,6",-91,"-84,9","-30,1","20,7","44,8","-38,7",-80,219,7,0,-40,-90,3.525,3.125,4,141,104,72,99,0
SX,"31/12/2022, 21:00:00",950.000.000,"-80,2","-15,3","16,9",-91,"-84,9","-30,1","20,9","44,8","-38,7",-80,219,7,0,-40,-90,3.525,3.125,4,141,104,72,99,0
SX,"31/12/2022, 21:00:00",1.010.000.000,"-80,3","-15,3","16,8","-91,1","-84,9","-30,2","20,9","44,8","-38,8",-80,219,7,0,-40,-90,3.525,3.125,4,141,104,72,99,0
SX,"31/12/2022, 21:00:00",1.070.000.000,"-80,3","-15,2","16,7",-91,-85,"-30,2","20,8","44,8","-38,9",-80,219,7,0,-40,-90,3.525,3.125,4,141,104,72,99,0
